Ma_truong,Ten_truong,Dia_chi
79000301,MN Thành Phố,"Số 4 Trần Quốc Thảo, Phường 6, Quận 3, TP.HCM"
79760328,MN 19/5 Thành phố,94 Nguyễn Đình Chiểu
79778311,MN Nam Sài Gòn,"Đường Trần Văn Trà, Khu A Đô Thị Mới Nam Sài Gòn, phường Tân Phú, Quận 7"
79760301,MN Nguyễn Cư Trinh,122 Trần Đình Xu
79760302,MN Lê Thị Riêng,39 Nguyễn Đình Chiểu
79760303,MN Hoa Quỳnh,34 Nguyễn Phi Khanh
79760304,MN Tân Định,26 Đặng Dung
79760305,MN Bé Ngoan,108 Nguyễn Đình Chiểu
79760306,MN Hoa Lư,01 Nguyễn Bỉnh Khiêm
79760307,MN Nguyễn Thái Bình,121-123 Nguyễn Thái Bình
79760308,MN Tuổi Hồng,21 Yersin
79760309,MN HOA LAN,541 Trần Hưng Đạo
79760310,MN Cô Giang,50 Hồ Hảo Hớn
79760311,MN Phạm Ngũ Lão,202 - 204 Bùi Viện
79760312,MN 30-4,174-176 Pasteur
79760313,MN 20/10,385A Nguyễn Trãi
79760318,Mầm Non Ngôi Nhà Nhỏ,28 Mai Thị Lựu
79760319,Mẫu giáo DL SaPa,1 Nguyễn Hữu Cảnh
79760320,MN Gấu Trúc,18 Phan Kế Bính
79760324,MN Công dân Quốc tế,195 Cô Bắc
79760325,MN Tuổi Thơ,137A Nguyễn Trãi
79760326,MN Sân Lá Cọ,4 bis Phùng Khắc Khoan
79760341,Lớp Mầm non Ban Mai,214/B5 Nguyễn Trãi
79760344,MN Học Viện Sài Gòn,27 A-b Trần Nhật Duật
79760W02,Lớp Mẫu giáo Tôn Thất Tùng,1 Tôn Thất Tùng
79760W03,Lớp Mẫu giáo Hoa Hồng,37 Bis Tôn Thất Tùng
79760W04,Lớp Mẫu giáo Mai Anh,2a Lương Hữu Khánh
79760W05,Lớp Mẫu giáo Cầu Kho,21/28 Trần Đình Xu
79760W07,Lớp Mẫu giáo Huyện Sỹ,28/6A Tôn Thất Tùng
79760W44,Nhóm Trẻ Bồ Câu Nhỏ,68/10C Trần Quang Khải
79761341,Mầm non Chuồn Chuồn Kim,"53/2 Trần Khánh Dư, P. Tân Định, Q. 1, Tp. HCM"
79771339,MN Quốc tế Ngôi Sao Sáng,"6 Trần Nhật Duật, phường Tân Định, Quận 1"
79771340,Mầm Non Thế Giới Trẻ Thơ,10/3 Nguyễn Thị Minh Khai
797713W2,MN Bến Thành,87-89 Sương Nguyệt Anh
79761201,MN Bông Sen,01 Hà Huy Giáp Kp1
79761202,MG Sơn Ca 1,96/3 Nguyễn Văn Quá
79761203,MN Bé Ngoan,"1/1 Đường TTN18, Kp4, Phường Tân Thới Nhất, Quận 12."
79761207,MN Hoạ Mi 2,89A Nguyễn Ảnh Thủ
79761208,Hoa Đăng 1,"44/5a, Khu Phố 2"
79761209,MN Bình Minh,"2/54 Nguyễn văn Quá, Kp5"
79761301,MN Bông Hồng,2686/1A Khu phố 1
79761302,MN Sơn Ca 4,123-125 TMT05 Kp6
79761303,MN Sơn Ca,74/3 Kp7
79761304,MN Sơn Ca 3,30/7 Kp1A
79761305,MN Hồng Yến,"319/22 Tô Ngọc Vân, Kp7"
79761306,MN Vàng Anh,1/4A Lê Văn Khương khu phố 1
79761307,MN Hoa Hồng,"29b,tổ 42, Khu Phố 5"
79761308,MN Vành Khuyên,4/59 Kp5
79761310,MN Hoàng Anh 2,8m/8 Hà Đặc Kp3
79761311,MN Việt Anh,129/58-60-60A Phan Văn Hớn
79761312,MN Tuổi Ngọc,"53/6B, Kp2, Tổ 18"
79761314,MN Hoàng Yến,591 Hà Huy Giáp
79761315,MN Sơn Ca 5,413 Khu phố 9
79761316,MN Sơn Ca 2,"679/29/2 Quốc Lộ 1A, khu phố 1"
79761317,MN Sơn Ca 6,98/3 Đường Nguyễn Thị Đặng Khu phố 3
79761318,MN Hoạ Mi 1,"25 Khu Phố 6 Đường Ta16, P.Thới An"
79761319,MN Quang Trung,"Lô 30,CVPM Quang Trung. Phường Tân Chánh Hiệp . Quận 12. TPHCM"
79761320,MN Minh Quang,"71 TCH07, p. Tân Chánh Hiệp, Quận 12, Tp. HCM"
79761322,MN Hoa Thiên Lý,37 Kp2 Đường số 21
79761323,MN Hoa Mai 2,26/6 Kp 3
79761324,MN Anh Đào,412/24 Nguyễn Văn Quá
79761325,MN Sơn Ca 7,1/45 Kp5 Nguyễn Văn Quá
79761326,MN Hoàng Lan Anh,212A-HT37 -KP1-F.HIỆP THÀNH
79761327,MN Mặt Trời Bé con 3,"37 đường TL 43 KP 1, Thạnh Lộc"
79761328,MN Sơn Ca 8,"Khu Phố 2, P.apđ, Q. 12"
79761329,MN Sơn Ca 9,Khu Phố 5
79761330,MN Thần Đồng Đất Việt,"299 Hương Lộ 80, Kp7"
79761331,MN Xứ Thần Tiên,"Số 01, Tô Ký, KP1"
79761334,MN Bông Sen Xanh,"5A, Hà Huy Giáp, KP1, Phường Thạnh Lộc, Quận 12"
79761335,MN Khương Đức,409/40/31 Đ.TCH 13. KP 2
79761336,MN Duy Nhật Tân,87/4 TX 22 KP 6
79761337,MN Đông Phương,21A Đường HT 49-KP 1
79761339,MN Đức Quỳnh,536/28 Đường Nguyễn T Đặng KP1
79761340,Mn Hiệp Thành,325 đường HT 13 KP 3
79761342,MN Tây Mỹ,"815/1 Nguyễn Văn Quá, KP 2"
79761343,MN Ngôi Nhà Trẻ Thơ,990 QL 1A
79761344,MN Hy Vọng,179 đường TL 27 CC Thạnh Lộc
79761345,MN Hoa Đào,Khu phố 3
79761346,Mn Tân Á Châu,63A đương APĐ 09-P.An Phú Đông-Q12
79761347,MN Ngọc Lan,"Tổ 13, khu phố 1"
79761348,Mn Con Đường Tuệ Đức,08 đường TTN21
79761350,MN Mai Vàng,
79761351,MN Hồng Lam,219/21 Nguyễn T Kiểu KP 1
79761352,MN Bí Ngô,"42/17-19 đường TL16, KP3"
79761W00,Ánh Dương,
79761W01,Cỏ non,"56 Khu Phố 5 Tổ 27, Phường Tân Chánh Hiệp, Q 12, tp HCM"
79761W02,MN Ban Mai,"154/1, Tổ 3, Khu phố 5"
79761W03,Nay Bi,118/6B. KP7
79761W06,Tuổi Hồng,113/54 To 51 KP4
79761W09,Hoa Phượng Đỏ 1,210 Hà đặc -Tổ 74 - Khu phố 3
79761W10,Hoa Mai 1,84/1 to 2 Kp1
79761W12,Hồng Nhung,76/1 Kp7
79761W13,MN Tường Vân,"83/2, khu phố 2"
79761W14,Bảo Thư,"273 lê Thị riêng, phường Thới An"
79761W15,1 Tháng 6,590 Lê Văn Khương
79761W16,Hồng Nhung 2,10/2 Kp5
79761W18,Trang Thơ,469c Le Thi Rieng
79761W19,MN Hoài Anh,"87 Lê Thị Riêng P. Thới An, quận 12"
79761W20,Thần Đồng,91 Đường Ta 21
79761W21,Hướng Dương,263 Phan Văn Hớn kp5
79761W22,MN Ánh Hồng,"77/3 TTN08, Khu phố 6, Phường Tân Thới Nhất, Quận 12"
79761W23,MN Ngọc Thủy,345/90 Kp2
79761W24,Thiên Thần Nhí,76/3 Tân Thới Nhất 5
79761W25,Sương Mai,53 Khu phố 2
79761W28,Ấu Thơ,8A - Tổ 20 - Kp6 - Trung Mỹ Tây - Quận 12
79761W29,Nụ Hồng,613 to ky p.Trung My Tay Q.12
79761W30,Trùng Dương,345/6 Tô Ký
79761W31,Thuỷ Tiên,"02 Đường Trương Thị Ngào, KP 4"
79761W32,Ngôi Sao,6 Kp3 Tổ 73
79761W33,Hương Hồng,"780a Tổ 71, Kp3, TMT, Quan 12"
79761w334,MN Ánh Sáng,
79761W34,Thần Đồng Việt Mỹ,"9E, Đường HT22, Tổ 13, Khu Phố 6"
79761W35,Duy Thanh,"9A1 đường 17 , Kp2"
79761W36,Lan Anh,76B/1 Khu phố 6 Đường HT 17 Phường Hiệp Thành Quận 12
79761W37,Ánh Mai,24 HT27 Khu phố 1
79761W40,Ba By,36-38 Giáng Hương
79761W41,Hoa Hồng 3,"38N/1 Nguyễn Ảnh Thủ, Kp3"
79761W43,Hoa Sen 1,30G kp2
79761W44,MN 19 tháng 5,17E - đường HT 22 - kp 6
79761W47,Đình Khánh,Tổ 45 KP 4 ( HT42 )
79761W48,Phương Thuý 2,"30/11  Kp 1, đường HT31"
79761W49,MN Gấu Trắng,"50L, đường HT 06"
79761W50,Ba By 2,36-38 Giáng Hương
79761W52,Mi Mi,"193 KP3, Đường HT06"
79761W53,MN Anh Đức,35/4A2 - KP1
79761W55,Việt Đức,"100 HT11, KP3"
79761W56,MN Việt Mỹ,168/4 Lê Văn Khương
79761W57,MN Phù Đổng,53/2-3 Khu Phố 4
79761W58,MN Thiên Ân,67/1 Kp2
79761W60,Tuổi Thơ,"98/4A1, kp2, Nguyễn Văn Quá"
79761W61,Hoàng Anh 1,1/107 Nguyễn Văn Quá
79761W62,Tuyết Anh,"A29 Bis, Kp2, tổ 11"
79761W63,Minh Trang 2,46/6B  Tổ 29 Kp3
79761W65,Thiên Thần,B 148 A  Kp3nguyen van qua
79761W66,MN Hoa Ti Gôn,503E Nguyễn Văn Quá
79761W67,Thanh Ngân,18/19  Kp1A  Nguyễn Văn Quá
79761W68,Việt Âu,"11/1 Nguyễn Văn Quá, KP4"
79761W69,Bé Yêu,"2/31B Đông Hưng Thuận02, Kp5"
79761W70,Vườn Hồng,179A3Bis - đường ĐHT2
79761W72,Tuổi Tiên,47 Đht42  Khu Phố 2
79761W74,Trúc Xanh,98/7 kp7
79761W75,Thiên Nga,2665/13/27 Kp3
79761W78,An Thịnh,47/4 Kp4 Tth07 phường tân thới hiệp quan12
79761W79,Thiên Lộc,213/8 - kp3 - TTH- Q12
79761W80,Hoa Mai Anh,"199/9 đường Nguyễn T Búp, KP11"
79761W82,MN Sao Mai 2,131/7/17
79761W83,Hoa Phượng,"142A, tổ 13 ,khu phố 2.phường Tân thới Hiệp .Quận 12"
79761W86,Tài Năng Việt 2,"423/1, Khu phố 4"
79761W87,Minh Thư,"Số 58, Khu phố 1, phường An Phú Đông, Q.12"
79761w88,Minh Anh,472/5A an phù đông quận 12
79761W91,Mai Phương,24/5 Hà Huy Giáp Kp2
79761W92,MN Duy Phương 2,154/7 Kp3A-Đường Hà huy giáp
79761W93,Mai Khôi,44 TL26 KHU PHO 3
79761W94,Tài Năng Việt,"D67 KDC Thới An, KP1"
79761W96,Á Châu,24b5 Hà Huy Gíap
79761W98,Tân Chánh Hiệp,"28/8A,Tô Ký, KP5"
79761W99,Bé Xinh,54/3A kp5
79761WA0,Hưu Cao Cổ,"103 B Hà Đặc, Kp6"
79761WA1,Vườn Hạnh Phúc,144-146 TL 19 KP3C
79761WA2,Xuân Xanh,105A Huỳnh Thị Hai Phường tân chánh hiệp quận 12
79761WA5,Nhật Tân,331/6a Tô Ngọc Vân
79761WA7,Do Re Mi,"577, Kp4 Nguyễn Ảnh Thủ"
79761WA9,Táo Hồng,27/2D1 phuong trung mỹ tây.q12
79761Waa1,Sao Việt Úc,
79761waa2,Xuân Mai,
79761waa3,Sao Ước Mơ,
79761waa4,Gấu Trúc 2,
79761waa5,Minh Thiện,
79761Waa6,Vườn Trẻ Thơ,
79761Waa7,Ngôi Sao Sáng,
79761waa8,Khanh Minh,
79761WB0,Đức Hạnh,50/5 Tổ 16 - Khu Phố 1
79761WB1,MN Sóc Bông,18F QUÁN TRE
79761WB2,Hương Sen,TẦNG TRỆT CHUNG CƯ AN SƯƠNG KP5
79761WB3,Mặt Trời Nhỏ,"4e/1, Ht27"
79761WB4,Như Ý,"62 TL27,KP3C"
79761WB5,Lớp Mẫu Giáo Trân Châu 1,333/10C Tổ 46B Kp4
79761WB6,Búp Măng Non,"64H1, Nguyễn Ảnh Thủ, Phường Hiệp Thành"
79761WB7,Nắng Hồng,"Chung Cư Thái An,khu phố 2, Phường Trung Mỹ Tây, Quận 12"
79761WB8,Thiên Ấn,C24 Tổ 9 Khu phố 5 Phường Tân Chánh Hiệp Quận 12
79761WC1,Hoa Bé Ngoan,31/4 Đường Tx 18
79761WC2,Búp Bê,44/20 KP 1
79761WC3,Khánh Linh,"673/8 Hà Huy Giáp, Kp3"
