Ma_truong,Phong_GDDT,Loai_hinh,Loai_truong,Cap_truong
79000301,Không,1,1,MN
79760328,Không,1,1,MN
79778311,Không,1,1,MN
79760301,Q1,1,1,MN
79760302,Q1,1,1,MN
79760303,Q1,1,1,MN
79760304,Q1,1,1,MN
79760305,Q1,1,1,MN
79760306,Q1,1,1,MN
79760307,Q1,1,1,MN
79760308,Q1,1,1,MN
79760309,Q1,1,1,MN
79760310,Q1,1,1,MN
79760311,Q1,1,1,MN
79760312,Q1,1,1,MN
79760313,Q1,1,1,MN
79760318,Q1,2,1,MN
79760319,Q1,3,1,MN
79760320,Q1,2,1,MN
79760324,Q1,2,1,MN
79760325,Q1,1,1,MN
79760326,Q1,2,1,MN
79760341,Q1,2,1,MN
79760344,Q1,2,1,MN
79760W02,Q1,2,1,MN
79760W03,Q1,2,1,MN
79760W04,Q1,2,1,MN
79760W05,Q1,2,1,MN
79760W07,Q1,2,1,MN
79760W44,Q1,2,1,MN
79761341,Q1,2,1,MN
79771339,Q1,2,1,MN
79771340,Q1,2,1,MN
797713W2,Q1,1,1,MN
79761201,Q12,1,1,MN
79761202,Q12,1,1,MN
79761203,Q12,1,1,MN
79761207,Q12,1,1,MN
79761208,Q12,2,1,MN
79761209,Q12,2,1,MN
79761301,Q12,1,1,MN
79761302,Q12,1,1,MN
79761303,Q12,1,1,MN
79761304,Q12,1,1,MN
79761305,Q12,1,1,MN
79761306,Q12,1,1,MN
79761307,Q12,2,1,MN
79761308,Q12,2,1,MN
79761310,Q12,2,1,MN
79761311,Q12,2,1,MN
79761312,Q12,2,1,MN
79761314,Q12,2,1,MN
79761315,Q12,1,1,MN
79761316,Q12,1,1,MN
79761317,Q12,1,1,MN
79761318,Q12,1,1,MN
79761319,Q12,2,1,MN
79761320,Q12,2,1,MN
79761322,Q12,2,1,MN
79761323,Q12,2,1,MN
79761324,Q12,2,1,MN
79761325,Q12,1,1,MN
79761326,Q12,2,1,MN
79761327,Q12,2,1,MN
79761328,Q12,1,1,MN
79761329,Q12,1,1,MN
79761330,Q12,2,1,MN
79761331,Q12,2,1,MN
79761334,Q12,2,1,MN
79761335,Q12,2,1,MN
79761336,Q12,2,1,MN
79761337,Q12,2,1,MN
79761339,Q12,2,1,MN
79761340,Q12,2,1,MN
79761342,Q12,2,1,MN
79761343,Q12,2,1,MN
79761344,Q12,2,1,MN
79761345,Q12,1,1,MN
79761346,Q12,2,1,MN
79761347,Q12,1,1,MN
79761348,Q12,2,1,MN
79761350,Q12,1,0,MN
79761351,Q12,2,1,MN
79761352,Q12,2,1,MN
79761W00,Q12,2,0,MN
79761W01,Q12,2,1,MN
79761W02,Q12,2,1,MN
79761W03,Q12,2,1,MN
79761W06,Q12,2,1,MN
79761W09,Q12,2,1,MN
79761W10,Q12,2,1,MN
79761W12,Q12,2,1,MN
79761W13,Q12,2,1,MN
79761W14,Q12,2,1,MN
79761W15,Q12,2,1,MN
79761W16,Q12,2,1,MN
79761W18,Q12,2,1,MN
79761W19,Q12,2,1,MN
79761W20,Q12,2,1,MN
79761W21,Q12,2,1,MN
79761W22,Q12,2,1,MN
79761W23,Q12,2,1,MN
79761W24,Q12,2,1,MN
79761W25,Q12,2,1,MN
